Year,Name,Primary position,Primary team,Career,Induction method,Vote %
1936,Ty Cobb,CF,Detroit Tigers,1905–1928,BBWAA,98.23%
1936,Walter Johnson,P,Washington Senators,1907–1927,BBWAA,83.63%
1936,Christy Mathewson,P,New York Giants,1900–1916,BBWAA,90.71%
1936,Babe Ruth,RF,New York Yankees,1914–1935,BBWAA,95.13%
1936,Honus Wagner,SS,Pittsburgh Pirates,1897–1917,BBWAA,95.13%
1937,Morgan Bulkeley,EXEC,—,1874–1876,VC,—1
1937,Ban Johnson,EXEC,—,1900–1927,VC,—1
1937,Nap Lajoie,2B,Cleveland Indians,1896–1916,BBWAA,83.58%
1937,Connie Mack,MGR,Philadelphia Athletics,1894–1950,VC,—1
1937,John McGraw,MGR,New York Giants,1899,VC,—1
,,,,1901–1932,,
1937,Tris Speaker,CF,Cleveland Indians,1907–1928,BBWAA,82.09%
1937,George Wright,EXEC/PIO,Boston Red Stockings,1867–1882,VC,—1
1937,Cy Young,P,Cleveland Spiders[c 1],1890–1911,BBWAA,76.12%
1938,Grover Cleveland Alexander,P,Philadelphia Phillies,1911–1930,BBWAA,80.92%
1938,Alexander Cartwright,PIO,Knickerbocker Base Ball Club,—,VC,—1
1938,Henry Chadwick,PIO,—,—,VC,—1
1939,Cap Anson,1B,Chicago White Stockings,1871–1897,VC,—1
1939,Eddie Collins,2B,Chicago White Sox,1906–1930,BBWAA,77.74%
1939,Charles Comiskey,EXEC/PIO,Chicago White Sox,1900–1931,VC,—1
1939,Candy Cummings,EXEC/PIO,Hartford Dark Blues,1872–1877,VC,—1
1939,Buck Ewing,C,New York Giants,1880–1897,VC,—1
1939,Lou Gehrig,1B,New York Yankees,1923–1939,BBWAA,—4
1939,Willie Keeler,RF,New York Highlanders[c 2],1892–1910,BBWAA,75.55%
1939,Charles Radbourn,P,Providence Grays,1881–1891,VC,—1
1939,George Sisler,1B,St. Louis Browns,1915–1922,BBWAA,85.77%
,,,,1924–1930,,
1939,Al Spalding,EXEC/PIO,Chicago White Stockings,1871–1878,VC,—1
19425,Rogers Hornsby,2B,St. Louis Cardinals,1915–1937,BBWAA,78.11%
19445,Kenesaw Landis,EXEC,—,1920–1944,VC,—1
1945,Roger Bresnahan,C,New York Giants,1897,VC,—1
,,,,1900–1915,,
1945,Dan Brouthers,1B,Buffalo Bisons,1879–1896,VC,—1
,,,,1904,,
1945,Fred Clarke,LF,Pittsburgh Pirates,1894–1915,VC,—1
1945,Jimmy Collins,3B,Boston Red Sox,1895–1908,VC,—1
1945,Ed Delahanty,LF,Philadelphia Phillies,1888–1903,VC,—1
1945,Hugh Duffy,CF,Boston Beaneaters,1888–1906,VC,—1
1945,Hugh Jennings,SS,Baltimore Orioles (NL)[c 3],1891–1918,VC,—1
1945,King Kelly,RF,Chicago White Stockings,1878–1893,VC,—1
1945,Jim O'Rourke,LF,New York Giants,1872–1893,VC,—1
