,Closing_price,High_price,Low_price,Opening_price,Market_volume,Date
0,5.54,5.8703,5.51,5.84,4638082,2020-09-14
1,5.52,5.87,5.52,5.6,5099315,2020-09-15
2,5.76,5.875,5.42,5.52,4390816,2020-09-16
3,5.72,5.79,5.58,5.67,2619665,2020-09-17
4,5.67,5.74,5.57,5.71,2428464,2020-09-18
5,5.32,5.48,5.01,5.42,4563153,2020-09-21
6,5.21,5.32,5.14,5.22,2090061,2020-09-22
7,4.78,5.29,4.74,5.22,4285151,2020-09-23
8,4.61,4.9,4.3573,4.69,4569670,2020-09-24
9,4.88,4.93,4.5042,4.64,2375454,2020-09-25
10,4.91,5.04,4.61,5.04,4676540,2020-09-28
11,4.86,4.94,4.75,4.88,2521765,2020-09-29
12,4.71,4.95,4.7,4.8,2515422,2020-09-30
13,4.65,4.8,4.63,4.78,3223808,2020-10-01
14,4.65,4.66,4.42,4.48,3575994,2020-10-02
15,4.13,4.36,4.05,4.3,9468797,2020-10-05
16,4.06,4.27,4.05,4.26,8404181,2020-10-06
17,4.04,4.11,3.94,4.08,6917700,2020-10-07
18,4.14,4.185,4.02,4.13,7868481,2020-10-08
19,4.05,4.18,4.04,4.17,5021406,2020-10-09
20,4.08,4.09,4.0,4.03,3245671,2020-10-12
21,3.54,3.91,3.52,3.9,10164744,2020-10-13
22,2.96,3.2,2.66,3.09,31761265,2020-10-14
23,2.78,2.96,2.76,2.84,9808591,2020-10-15
24,3.04,3.29,2.8,2.87,18565805,2020-10-16
25,3.54,3.88,3.23,3.31,40385068,2020-10-19
26,3.09,3.31,3.05,3.3,15978782,2020-10-20
27,3.0,3.1299,2.98,3.1,7277305,2020-10-21
28,3.12,3.15,2.84,2.96,12339596,2020-10-22
29,2.97,3.15,2.95,3.13,6634962,2020-10-23
30,2.75,2.93,2.68,2.92,10458790,2020-10-26
31,2.79,2.9,2.61,2.88,11251269,2020-10-27
32,2.61,2.74,2.58,2.69,8141103,2020-10-28
33,2.52,2.68,2.48,2.65,9019304,2020-10-29
34,2.36,2.49,2.28,2.48,11013232,2020-10-30
35,2.15,2.32,2.11,2.3,11180071,2020-11-02
36,2.34,2.59,2.3,2.34,15441929,2020-11-03
37,2.31,2.4299,2.2401,2.4,7609136,2020-11-04
38,2.46,2.57,2.27,2.35,8056242,2020-11-05
39,2.49,2.62,2.33,2.43,9049450,2020-11-06
40,3.77,4.39,3.23,4.27,132510953,2020-11-09
41,3.51,4.03,3.34,3.99,42129263,2020-11-10
42,3.13,3.24,3.0,3.2308,24066098,2020-11-11
43,2.94,3.07,2.92,3.07,14836046,2020-11-12
44,2.97,2.99,2.78,2.98,22451870,2020-11-13
45,3.11,3.39,3.05,3.39,47604346,2020-11-16
46,2.98,3.04,2.9,3.01,22482959,2020-11-17
47,3.26,3.37,3.01,3.08,31717281,2020-11-18
48,3.19,3.375,3.15,3.16,13986442,2020-11-19
49,3.35,3.37,3.21,3.25,17088783,2020-11-20
50,3.81,3.85,3.41,3.51,31514579,2020-11-23
51,4.58,5.0,4.15,4.16,62884604,2020-11-24
52,4.49,4.85,4.2,4.57,22647306,2020-11-25
53,4.45,4.62,4.36,4.54,10097374,2020-11-27
54,4.27,4.45,3.99,4.41,16554987,2020-11-30
55,4.15,4.43,4.09,4.43,12293499,2020-12-01
56,4.32,4.34,3.95,4.08,11847629,2020-12-02
57,3.63,4.215,3.5,4.01,66080891,2020-12-03
58,3.51,3.76,3.3,3.75,33157263,2020-12-04
59,3.56,3.74,3.33,3.45,20503852,2020-12-07
60,3.98,4.02,3.61,3.61,29530632,2020-12-08
61,3.86,4.33,3.75,4.22,20991197,2020-12-09
62,4.09,4.1,3.77,3.79,19872845,2020-12-10
63,3.92,4.25,3.87,4.04,22310377,2020-12-11
64,3.19,4.01,3.0,4.01,67158976,2020-12-14
65,2.86,3.24,2.76,3.24,54432125,2020-12-15
66,2.78,2.89,2.72,2.87,25423239,2020-12-16
67,2.85,2.95,2.74,2.8,23799298,2020-12-17
68,2.8,2.85,2.76,2.85,21941652,2020-12-18
69,2.68,2.74,2.58,2.61,22699798,2020-12-21
