,Closing_price,High_price,Low_price,Opening_price,Market_volume,Date
0,3102.97,3187.39,3096.0,3172.9372,4529596,2020-09-14
1,3156.13,3175.02,3108.92,3136.16,4021535,2020-09-15
2,3078.1,3187.238,3074.15,3179.99,4531189,2020-09-16
3,3008.73,3029.432,2972.55,3009.25,6449050,2020-09-17
4,2954.91,3037.8,2905.54,3031.74,8892580,2020-09-18
5,2960.47,2962.0,2871.0,2906.5,6117925,2020-09-21
6,3128.99,3133.99,3000.2,3033.835,6948816,2020-09-22
7,2999.86,3126.999,2992.3759,3120.43,5652665,2020-09-23
8,3019.79,3069.3,2965.0,2977.79,5529392,2020-09-24
9,3095.13,3101.54,2999.0,3054.86,4615202,2020-09-25
10,3174.05,3175.04,3117.1684,3148.85,4224165,2020-09-28
11,3144.88,3188.26,3132.54,3175.39,3503398,2020-09-29
12,3148.73,3212.88,3133.99,3141.14,4896101,2020-09-30
13,3221.26,3224.0,3172.0,3208.0,4971922,2020-10-01
14,3125.0,3195.7965,3123.0,3153.63,5613098,2020-10-02
15,3199.2,3202.53,3140.85,3145.84,3775332,2020-10-05
16,3099.96,3182.0,3090.0,3165.0,5086857,2020-10-06
17,3195.69,3200.0,3132.385,3135.0,4309439,2020-10-07
18,3190.55,3233.2944,3174.99,3224.99,3174114,2020-10-08
19,3286.65,3288.99,3197.83,3210.0,4907871,2020-10-09
20,3442.93,3496.24,3339.55,3349.94,8364198,2020-10-12
21,3443.63,3492.38,3424.217,3467.99,5744697,2020-10-13
22,3363.71,3464.88,3340.0,3447.0,5828916,2020-10-14
23,3338.65,3355.88,3280.0,3292.01,5223448,2020-10-15
24,3272.71,3399.6606,3160.0,3363.23,6474353,2020-10-16
25,3207.21,3329.0,3192.735,3299.61,5223626,2020-10-19
26,3217.01,3266.0,3192.01,3222.28,4509678,2020-10-20
27,3184.94,3233.875,3160.0,3212.5,4592736,2020-10-21
28,3176.4,3198.75,3121.94,3189.87,4212005,2020-10-22
29,3204.4,3205.33,3140.0,3191.0,3466687,2020-10-23
30,3207.04,3282.9799,3153.3,3198.74,5901151,2020-10-26
31,3286.33,3291.66,3211.3,3224.94,4291047,2020-10-27
32,3162.78,3264.02,3162.47,3249.3,5588330,2020-10-28
33,3211.01,3257.25,3164.0,3201.27,6596529,2020-10-29
34,3036.15,3167.004,3019.0,3157.75,8396081,2020-10-30
35,3004.48,3079.705,2950.12,3061.74,7257350,2020-11-02
36,3048.41,3074.9,2980.98,3018.53,4897880,2020-11-03
37,3241.16,3244.85,3139.73,3159.99,6839041,2020-11-04
38,3322.0,3366.8,3288.88,3319.97,5789285,2020-11-05
39,3311.37,3322.0,3232.0,3304.64,4647330,2020-11-06
40,3143.74,3289.0,3112.1057,3231.03,7190406,2020-11-09
41,3035.02,3114.0,3019.4828,3095.02,6590956,2020-11-10
42,3137.39,3139.145,3050.0,3061.78,4366923,2020-11-11
43,3110.28,3175.88,3086.05,3159.95,4371208,2020-11-12
44,3128.81,3141.7227,3085.39,3122.0,3762587,2020-11-13
45,3131.06,3142.7,3072.685,3093.2,3808676,2020-11-16
46,3135.66,3189.25,3135.26,3183.5445,3444735,2020-11-17
47,3105.46,3140.0,3105.1,3134.0,2916836,2020-11-18
48,3117.02,3125.0,3080.92,3105.31,3010270,2020-11-19
49,3099.4,3132.89,3098.0456,3117.02,3380138,2020-11-20
50,3098.39,3139.745,3065.46,3116.6986,4708887,2020-11-23
51,3118.06,3134.25,3086.258,3100.5,3602102,2020-11-24
52,3185.07,3198.0,3140.26,3141.87,3790403,2020-11-25
53,3195.34,3216.19,3190.05,3211.26,2392867,2020-11-27
54,3168.04,3228.39,3125.55,3208.48,4063916,2020-11-30
55,3220.08,3248.95,3157.18,3188.5,4544382,2020-12-01
56,3203.53,3232.0,3173.2601,3221.65,3129304,2020-12-02
57,3186.73,3228.64,3181.31,3205.46,2892039,2020-12-03
58,3162.58,3198.21,3158.76,3198.21,2913611,2020-12-04
