,Closing_price,High_price,Low_price,Opening_price,Market_volume,Date
0,131.25,132.93,130.904,132.53,8391896,2020-09-14
1,131.24,132.54,131.005,131.46,7289104,2020-09-15
2,132.09,133.62,131.4,132.17,6605949,2020-09-16
3,130.22,131.77,128.6,130.55,6723544,2020-09-17
4,128.63,130.79,128.1201,129.5,9916267,2020-09-18
5,125.41,126.8858,123.59,125.98,10352686,2020-09-21
6,127.21,127.47,124.7,125.26,6978779,2020-09-22
7,123.28,127.3,122.901,127.07,8323568,2020-09-23
8,122.49,123.8,120.78,121.93,8479997,2020-09-24
9,124.0,124.19,120.98,121.36,6851806,2020-09-25
10,125.99,126.86,125.37,125.75,6283678,2020-09-28
11,125.4,126.29,123.675,125.92,7432567,2020-09-29
12,124.08,125.55,123.24,123.24,13642450,2020-09-30
13,123.31,125.47,122.42,124.94,8908316,2020-10-01
14,122.55,123.6775,121.69,121.99,6490237,2020-10-02
15,123.37,123.595,122.33,123.26,5919150,2020-10-05
16,120.93,124.19,120.61,123.13,9051995,2020-10-06
17,122.91,123.3098,120.93,121.95,10187808,2020-10-07
18,123.09,123.75,122.4201,123.58,7404570,2020-10-08
19,124.98,125.5495,123.33,123.85,11502207,2020-10-09
20,124.97,125.94,123.73,124.9,10958228,2020-10-12
21,128.96,131.36,127.9,129.8,22388972,2020-10-13
22,126.59,129.5,125.29,129.14,11536579,2020-10-14
23,127.36,127.4,124.43,125.0,7748617,2020-10-15
24,126.81,128.12,126.33,127.81,6295112,2020-10-16
25,124.23,127.4,123.71,127.37,6576923,2020-10-19
26,124.95,125.73,123.64,124.58,6166070,2020-10-20
27,126.63,127.56,123.835,124.36,6591520,2020-10-21
28,127.56,128.1,125.97,126.67,5180071,2020-10-22
29,128.35,128.5,126.35,128.1,5439906,2020-10-23
30,124.06,127.11,122.95,127.11,8578901,2020-10-26
31,123.31,124.61,123.03,124.03,6813840,2020-10-27
32,118.47,121.53,118.32,121.01,11654677,2020-10-28
33,121.54,122.63,117.23,118.16,9583749,2020-10-29
34,121.25,121.75,119.0881,120.64,8098891,2020-10-30
35,120.13,122.93,119.81,122.24,9186007,2020-11-02
36,124.02,125.07,121.37,121.605,8144940,2020-11-03
37,125.07,126.86,123.41,123.58,7483043,2020-11-04
38,126.96,128.62,125.8,126.78,7654761,2020-11-05
39,127.46,128.04,124.6147,126.255,6259697,2020-11-06
40,142.59,147.68,138.065,140.26,35634684,2020-11-09
41,142.11,142.37,137.67,139.97,18115410,2020-11-10
42,137.82,142.0,136.62,141.47,9600863,2020-11-11
43,135.52,138.49,134.105,136.34,13893301,2020-11-12
44,138.36,141.19,136.52,140.9,21074457,2020-11-13
45,144.67,144.74,141.57,141.57,16382489,2020-11-16
46,144.5,144.83,142.56,144.4,9354936,2020-11-17
47,143.9,145.48,143.35,144.5,9456229,2020-11-18
48,141.72,143.2996,141.7,142.57,8892462,2020-11-19
49,141.07,142.61,140.86,141.71,8485920,2020-11-20
50,145.98,147.75,141.7,142.45,12887045,2020-11-23
51,151.49,151.86,147.849,148.16,16711735,2020-11-24
52,149.09,150.27,147.235,150.27,9551978,2020-11-25
53,147.13,150.3499,146.53,149.0,5306365,2020-11-27
54,148.01,148.69,146.29,147.06,9710134,2020-11-30
55,149.44,151.4,149.0,149.57,8827829,2020-12-01
56,153.61,154.01,148.34,149.49,10601879,2020-12-02
57,153.24,154.4399,152.13,153.45,9063241,2020-12-03
58,154.14,154.68,152.81,153.69,6033271,2020-12-04
59,153.68,153.88,152.26,153.18,6815460,2020-12-07
60,153.72,154.88,152.2505,152.42,7900575,2020-12-08
61,154.43,157.46,153.89,156.29,10804340,2020-12-09
62,154.69,155.34,152.5,153.32,8993216,2020-12-10
63,175.72,179.45,165.33,169.675,87410704,2020-12-11
64,169.3,177.3,168.81,173.8,30939390,2020-12-14
65,173.94,174.4699,167.8201,170.49,18817185,2020-12-15
66,173.12,174.85,171.6226,173.99,11105791,2020-12-16
67,173.55,174.84,171.96,173.815,9004574,2020-12-17
68,172.89,175.843,172.28,173.6,21172083,2020-12-18
69,170.69,171.94,168.19,170.09,11424234,2020-12-21
70,170.45,171.45,169.16,170.0,6424901,2020-12-22
71,173.55,175.95,172.3,172.96,9994045,2020-12-23
72,173.73,174.5799,172.38,173.99,2720964,2020-12-24
73,178.86,179.92,175.05,175.75,13145438,2020-12-28
74,177.3,180.2,176.22,180.01,6875370,2020-12-29
75,181.17,183.4,178.37,178.5,11680443,2020-12-30
76,181.18,183.4,180.27,181.22,7073495,2020-12-31
77,177.68,182.59,174.73,182.255,13426595,2021-01-04
78,178.44,180.3399,176.2,176.2,7771802,2021-01-05
79,179.12,181.61,177.2836,178.32,7517758,2021-01-06
80,178.58,179.95,177.575,179.5,7300815,2021-01-07
81,178.69,180.02,176.6,178.81,7894454,2021-01-08
82,179.09,181.255,177.35,177.75,6464144,2021-01-11
83,175.99,178.32,174.861,177.3,8349839,2021-01-12
84,176.12,177.73,173.74,174.4,6839540,2021-01-13
85,173.43,178.35,173.4,177.01,8951171,2021-01-14
86,171.44,174.19,170.17,172.95,12232542,2021-01-15
87,172.26,173.71,171.44,172.1,7834738,2021-01-19
88,173.64,177.88,173.0,175.22,9809232,2021-01-20
89,171.28,175.0,171.02,173.24,8423916,2021-01-21
90,172.78,175.2499,171.89,174.0,9517202,2021-01-22
91,171.89,173.11,168.77,171.89,7833745,2021-01-25
92,169.56,173.345,169.05,173.0,7523199,2021-01-26
93,163.03,166.34,160.52,165.01,18239248,2021-01-27
94,171.88,172.88,165.95,166.17,14449099,2021-01-28
95,168.17,169.81,165.7901,168.8,12848825,2021-01-29
96,170.97,171.7289,168.03,170.835,8140399,2021-02-01
