,Closing_price,High_price,Low_price,Opening_price,Market_volume,Date
0,0.0028,0.0028,0.0028,0.0028,117125272,2020-09-11
1,0.0028,0.0028,0.0027,0.0028,124253231,2020-09-12
2,0.0028,0.0028,0.0027,0.0028,128520945,2020-09-13
3,0.0028,0.0029,0.0028,0.0028,100194173,2020-09-14
4,0.0028,0.0029,0.0028,0.0028,148555504,2020-09-15
5,0.0028,0.0029,0.0028,0.0028,161305348,2020-09-16
6,0.0028,0.0028,0.0027,0.0028,147868185,2020-09-17
7,0.0028,0.0028,0.0028,0.0028,147046519,2020-09-18
8,0.0028,0.0028,0.0027,0.0028,145951916,2020-09-19
9,0.0026,0.0028,0.0026,0.0028,78753428,2020-09-20
10,0.0027,0.0027,0.0026,0.0026,36467574,2020-09-21
11,0.0026,0.0027,0.0026,0.0027,29993627,2020-09-22
12,0.0026,0.0027,0.0026,0.0026,30967521,2020-09-23
13,0.0027,0.0027,0.0026,0.0026,39515147,2020-09-24
14,0.0027,0.0027,0.0027,0.0027,36770554,2020-09-25
15,0.0027,0.0027,0.0027,0.0027,24673034,2020-09-26
16,0.0027,0.0027,0.0027,0.0027,35610655,2020-09-27
17,0.0027,0.0027,0.0026,0.0027,36596920,2020-09-28
18,0.0026,0.0027,0.0026,0.0027,32195544,2020-09-29
19,0.0026,0.0027,0.0026,0.0026,35974208,2020-09-30
20,0.0026,0.0026,0.0025,0.0026,46978131,2020-10-01
21,0.0026,0.0026,0.0026,0.0026,28617215,2020-10-02
22,0.0026,0.0027,0.0026,0.0026,31175662,2020-10-03
23,0.0026,0.0027,0.0026,0.0026,28690531,2020-10-04
24,0.0026,0.0026,0.0026,0.0026,31952344,2020-10-05
25,0.0026,0.0026,0.0026,0.0026,43259079,2020-10-06
26,0.0026,0.0026,0.0026,0.0026,43957899,2020-10-07
27,0.0027,0.0027,0.0026,0.0026,40540479,2020-10-08
28,0.0027,0.0027,0.0027,0.0027,96632426,2020-10-09
29,0.0027,0.0027,0.0026,0.0027,107632465,2020-10-10
30,0.0027,0.0027,0.0026,0.0027,101246789,2020-10-11
31,0.0026,0.0027,0.0026,0.0027,76963142,2020-10-12
32,0.0026,0.0027,0.0026,0.0026,87293434,2020-10-13
33,0.0026,0.0027,0.0026,0.0026,83794206,2020-10-14
34,0.0026,0.0026,0.0026,0.0026,117882236,2020-10-15
35,0.0026,0.0026,0.0026,0.0026,125692390,2020-10-16
36,0.0026,0.0026,0.0026,0.0026,72298802,2020-10-17
37,0.0026,0.0026,0.0026,0.0026,91049561,2020-10-18
38,0.0026,0.0026,0.0026,0.0026,65577101,2020-10-19
39,0.0026,0.0027,0.0026,0.0026,45017114,2020-10-20
40,0.0027,0.0027,0.0026,0.0026,44976452,2020-10-21
41,0.0026,0.0027,0.0026,0.0026,46856081,2020-10-22
42,0.0026,0.0027,0.0026,0.0026,44797614,2020-10-23
43,0.0027,0.0027,0.0026,0.0026,58532388,2020-10-24
44,0.0027,0.0029,0.0026,0.0027,122152251,2020-10-26
45,0.0027,0.0027,0.0026,0.0027,78927089,2020-10-27
46,0.0026,0.0027,0.0026,0.0027,72848720,2020-10-28
47,0.0026,0.0026,0.0025,0.0026,58929514,2020-10-29
48,0.0026,0.0026,0.0025,0.0026,63444096,2020-10-30
49,0.0026,0.0026,0.0026,0.0026,56189318,2020-10-31
50,0.0026,0.0026,0.0026,0.0026,45528681,2020-11-01
51,0.0025,0.0026,0.0025,0.0026,50142375,2020-11-02
52,0.0025,0.0025,0.0025,0.0025,62871653,2020-11-03
