,Closing_price,High_price,Low_price,Opening_price,Market_volume,Date
0,6.91,7.0,6.43,6.8,10118972,2020-09-14
1,7.09,7.26,6.685,6.86,5743489,2020-09-15
2,8.68,9.04,7.03,7.03,19346508,2020-09-16
3,9.2,9.77,8.41,8.57,17026720,2020-09-17
4,9.47,9.77,8.91,9.2,17407513,2020-09-18
5,8.75,9.6,8.38,9.35,7639806,2020-09-21
6,10.56,11.1699,9.9,10.45,34752484,2020-09-22
7,10.04,10.86,9.92,10.6,10651152,2020-09-23
8,9.14,9.81,9.01,9.71,7938838,2020-09-24
9,10.02,10.1826,9.1,9.19,7515157,2020-09-25
10,10.09,10.26,9.55,10.16,6764323,2020-09-28
11,10.35,10.65,9.93,10.0,5244339,2020-09-29
12,10.2,10.7597,10.06,10.25,6079033,2020-09-30
13,9.77,10.25,9.69,10.09,4554055,2020-10-01
14,9.39,9.78,9.3,9.38,4340484,2020-10-02
15,9.46,9.59,9.2502,9.44,2804969,2020-10-05
16,9.13,9.835,9.1,9.56,4535421,2020-10-06
17,9.36,9.56,9.1678,9.23,3308644,2020-10-07
18,13.49,13.64,9.19,9.54,76453557,2020-10-08
19,12.02,14.8,11.9,12.83,77152780,2020-10-09
20,11.8,12.7662,11.4,11.66,23655701,2020-10-12
21,11.88,12.42,11.65,11.73,10179708,2020-10-13
22,12.25,12.68,12.05,12.67,10776762,2020-10-14
23,13.83,15.1,11.99,11.99,39894822,2020-10-15
24,13.31,13.9,13.08,13.77,11651578,2020-10-16
25,13.91,14.5,13.38,13.44,13169073,2020-10-19
26,13.86,14.143,13.665,14.03,6603951,2020-10-20
27,14.1,14.42,13.8,13.9,5361928,2020-10-21
28,14.91,15.87,14.19,14.2,16212232,2020-10-22
29,15.0,15.38,14.55,15.05,6507324,2020-10-23
30,13.45,15.45,13.26,14.93,13376269,2020-10-26
31,12.69,13.71,12.36,13.71,7231006,2020-10-27
32,11.82,13.05,11.78,12.27,6388580,2020-10-28
33,11.73,12.25,11.6801,11.88,4165843,2020-10-29
34,10.47,11.64,10.36,11.64,11562367,2020-10-30
35,10.75,11.09,10.5,10.82,5227011,2020-11-02
36,11.57,11.86,10.63,10.75,7454472,2020-11-03
37,10.91,11.7699,10.61,11.76,5807871,2020-11-04
38,11.45,11.84,11.06,11.27,4705245,2020-11-05
39,11.86,12.17,11.32,11.52,5518243,2020-11-06
40,11.49,12.93,11.25,12.76,6244865,2020-11-09
41,11.1,11.66,10.83,11.5,3825963,2020-11-10
42,11.75,11.95,11.21,11.5,4882569,2020-11-11
43,11.13,11.87,10.97,11.74,4355892,2020-11-12
44,11.01,11.55,11.0,11.36,3546171,2020-11-13
45,12.06,12.6602,10.72,11.16,9774824,2020-11-16
46,11.63,11.92,11.23,11.65,6678176,2020-11-17
47,11.57,12.04,11.56,11.8,3169222,2020-11-18
48,12.46,12.79,11.45,11.6,11787613,2020-11-19
49,12.71,13.46,12.54,12.55,8402347,2020-11-20
50,13.9,14.12,12.67,12.9,9607973,2020-11-23
51,13.67,14.26,13.3,14.23,7186710,2020-11-24
52,14.75,15.25,13.42,13.6,8860092,2020-11-25
53,16.08,16.74,14.88,15.29,12504197,2020-11-27
54,16.56,19.42,16.5575,18.17,31983498,2020-11-30
55,15.8,17.4,15.76,17.11,12666027,2020-12-01
56,16.58,16.68,15.38,15.7,7883380,2020-12-02
57,16.12,16.64,15.87,16.48,6294965,2020-12-03
