,Closing_price,High_price,Low_price,Opening_price,Market_volume,Date
0,83.6,83.6,83.6,83.6,0,2020-09-14
1,84.08,84.08,84.08,84.08,0,2020-09-15
2,83.8,83.8,83.8,83.8,0,2020-09-16
3,83.09,83.09,83.09,83.09,0,2020-09-17
4,82.31,82.31,82.31,82.31,0,2020-09-18
5,81.31,81.31,81.31,81.31,0,2020-09-21
6,82.11,82.11,82.11,82.11,0,2020-09-22
7,80.11,80.11,80.11,80.11,0,2020-09-23
8,79.96,79.96,79.96,79.96,0,2020-09-24
9,81.3,81.3,81.3,81.3,0,2020-09-25
10,82.68,82.68,82.68,82.68,0,2020-09-28
11,82.31,82.31,82.31,82.31,0,2020-09-29
12,82.94,82.94,82.94,82.94,0,2020-09-30
13,83.57,83.57,83.57,83.57,0,2020-10-01
14,82.89,82.89,82.89,82.89,0,2020-10-02
15,84.45,84.45,84.45,84.45,0,2020-10-05
16,83.4,83.4,83.4,83.4,0,2020-10-06
17,84.88,84.88,84.88,84.88,0,2020-10-07
18,85.59,85.59,85.59,85.59,0,2020-10-08
19,86.32,86.32,86.32,86.32,0,2020-10-09
20,87.59,87.59,87.59,87.59,0,2020-10-12
21,87.14,87.14,87.14,87.14,0,2020-10-13
22,86.58,86.58,86.58,86.58,0,2020-10-14
23,86.53,86.53,86.53,86.53,0,2020-10-15
24,86.49,86.49,86.49,86.49,0,2020-10-16
25,85.16,85.16,85.16,85.16,0,2020-10-19
26,85.48,85.48,85.48,85.48,0,2020-10-20
27,85.21,85.21,85.21,85.21,0,2020-10-21
28,85.76,85.76,85.76,85.76,0,2020-10-22
29,86.1,86.1,86.1,86.1,0,2020-10-23
30,84.48,84.48,84.48,84.48,0,2020-10-26
31,84.19,84.19,84.19,84.19,0,2020-10-27
32,81.33,81.33,81.33,81.33,0,2020-10-28
33,82.26,82.26,82.26,82.26,0,2020-10-29
34,81.16,81.16,81.16,81.16,0,2020-10-30
35,82.18,82.18,82.18,82.18,0,2020-11-02
36,83.76,83.76,83.76,83.76,0,2020-11-03
37,85.51,85.51,85.51,85.51,0,2020-11-04
38,87.29,87.29,87.29,87.29,0,2020-11-05
39,87.23,87.23,87.23,87.23,0,2020-11-06
40,87.23,87.23,87.23,87.23,0,2020-11-09
41,88.16,88.16,88.16,88.16,0,2020-11-10
42,88.84,88.84,88.84,88.84,0,2020-11-11
43,87.97,87.97,87.97,87.97,0,2020-11-12
44,89.18,89.18,89.18,89.18,0,2020-11-13
45,90.28,90.28,90.28,90.28,0,2020-11-16
46,90.07,90.07,90.07,90.07,0,2020-11-17
47,89.16,89.16,89.16,89.16,0,2020-11-18
48,89.66,89.66,89.66,89.66,0,2020-11-19
49,89.18,89.18,89.18,89.18,0,2020-11-20
50,89.89,89.89,89.89,89.89,0,2020-11-23
51,91.29,91.29,91.29,91.29,0,2020-11-24
52,91.24,91.24,91.24,91.24,0,2020-11-25
53,91.58,91.58,91.58,91.58,0,2020-11-27
54,91.06,91.06,91.06,91.06,0,2020-11-30
55,91.99,91.99,91.99,91.99,0,2020-12-01
56,92.09,92.09,92.09,92.09,0,2020-12-02
57,92.23,92.23,92.23,92.23,0,2020-12-03
58,93.19,93.19,93.19,93.19,0,2020-12-04
59,93.1,93.1,93.1,93.1,0,2020-12-07
60,93.48,93.48,93.48,93.48,0,2020-12-08
61,92.62,92.62,92.62,92.62,0,2020-12-09
62,92.76,92.76,92.76,92.76,0,2020-12-10
63,92.59,92.59,92.59,92.59,0,2020-12-11
64,92.33,92.33,92.33,92.33,0,2020-12-14
65,93.57,93.57,93.57,93.57,0,2020-12-15
66,93.69,93.69,93.69,93.69,0,2020-12-16
67,94.42,94.42,94.42,94.42,0,2020-12-17
68,94.21,94.21,94.21,94.21,0,2020-12-18
69,93.93,93.93,93.93,93.93,0,2020-12-21
70,93.95,93.95,93.95,93.95,0,2020-12-22
71,93.66,93.66,93.66,93.66,0,2020-12-23
72,93.91,93.91,93.91,93.91,0,2020-12-24
73,94.4,94.4,94.4,94.4,0,2020-12-28
74,94.03,94.03,94.03,94.03,0,2020-12-29
75,94.28,94.28,94.28,94.28,0,2020-12-30
76,94.74,94.74,94.74,94.74,0,2020-12-31
77,93.35,93.35,93.35,93.35,0,2021-01-04
78,94.14,94.14,94.14,94.14,0,2021-01-05
79,94.93,94.93,94.93,94.93,0,2021-01-06
80,96.49,96.49,96.49,96.49,0,2021-01-07
81,96.95,96.95,96.95,96.95,0,2021-01-08
82,96.43,96.43,96.43,96.43,0,2021-01-11
83,96.73,96.73,96.73,96.73,0,2021-01-12
84,96.82,96.82,96.82,96.82,0,2021-01-13
85,96.71,96.71,96.71,96.71,0,2021-01-14
86,95.95,95.95,95.95,95.95,0,2021-01-15
87,96.78,96.78,96.78,96.78,0,2021-01-19
88,98.02,98.02,98.02,98.02,0,2021-01-20
89,97.93,97.93,97.93,97.93,0,2021-01-21
90,97.79,97.79,97.79,97.79,0,2021-01-22
91,98.04,98.04,98.04,98.04,0,2021-01-25
92,97.74,97.74,97.74,97.74,0,2021-01-26
93,95.21,95.21,95.21,95.21,0,2021-01-27
94,96.18,96.18,96.18,96.18,0,2021-01-28
95,94.43,94.43,94.43,94.43,0,2021-01-29
